broker,account_id,product_code,product_name,instrument_type,put_call,strike_price,delivery_month,side,quantity,trade_date,trade_price,market_price,variation_margin,currency,lot_size,fx_spot_rate
Broker A,A:G1115000,DB1            ,EEX GERMAN POWER BASE DAY 18 FUTURE                                    ,F,,,2025-04,BUY,45,2025-04-14,74.0,74.14,151.2,EUR,1,
Broker A,A:G1115000,DB1            ,EEX GERMAN POWER BASE DAY 18 FUTURE                                    ,F,,,2025-04,BUY,30,2025-04-14,74.0,74.14,100.8,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,10,2025-07-04,62.6,67.45,-36084.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,10,2025-07-04,62.65,67.45,-35712.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,2,2025-09-04,60.73,67.45,-9999.36,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,3,2025-09-04,60.73,67.45,-14999.04,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,5,2025-09-04,60.5,67.45,-25854.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,20,2025-07-04,65.3,69.4,59040.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,10,2025-07-04,65.35,69.4,29160.0,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,50,2025-04-14,19.5,16.83,3204.0,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,20,2025-04-14,18.6,16.83,849.6,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,280,2025-04-14,18.0,16.83,7862.4,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,20,2025-04-14,18.5,16.83,801.6,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,30,2025-04-14,19.0,16.83,1562.4,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,25,2025-04-14,18.0,16.83,702.0,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,25,2025-04-14,19.0,16.83,1302.0,EUR,1,
Broker A,A:G1115000,F71            ,EEX FRENCH POWER BASE DAY 18 FUTURE                                    ,F,,,2025-04,SELL,75,2025-04-14,43.0,34.5,15300.0,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 3 FUTURE                                    ,F,,,2025-04,BUY,2,2025-10-04,33.0,30.76,-752.64,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,32.5,36.66,-3494.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,34.0,36.66,-2234.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,10,2025-04-14,35.0,36.66,-2788.8,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,35.7,36.66,-806.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,25,2025-04-14,32.25,36.66,-18522.0,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,10,2025-04-14,36.0,36.66,-1108.8,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,36.0,36.66,-554.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,1,2025-04-14,34.94,36.66,-288.96,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,5,2025-03-04,36.85,27.99,32959.2,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,7,2025-03-04,36.9,27.99,46403.28,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,8,2025-03-04,37.15,27.99,54520.32,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,5,2025-03-04,37.16,27.99,34112.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,5,2025-07-04,32.0,27.99,14917.2,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,5,2025-03-04,40.0,30.61,-33804.0,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,5,2025-03-04,39.2,30.61,-30924.0,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,7,2025-03-04,39.25,30.61,-43545.6,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,8,2025-03-04,39.5,30.61,-51206.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,5,2025-03-04,39.51,30.61,-32040.0,EUR,1,
Broker A,A:G1115000,FE1            ,EEX SPANISH POWER BASE DAY 15 FUTURE                                   ,F,,,2025-04,SELL,15,2025-04-14,13.5,11.73,637.2,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,F,,,2025-04,SELL,2,2025-04-04,22.0,16.24,1935.36,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,F,,,2025-04,SELL,5,2025-09-04,14.0,16.24,-1881.6,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,F,,,2025-04,SELL,5,2025-09-04,14.0,16.24,-1881.6,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,F,,,2025-04,SELL,5,2025-10-04,13.0,16.24,-2721.6,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,F,,,2025-04,SELL,12,2025-08-04,30.0,21.97,16188.48,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,F,,,2025-04,SELL,10,2025-09-04,25.0,21.97,5090.4,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,F,,,2025-04,SELL,3,2025-10-04,23.0,21.97,519.12,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE WEEK 4 FUTURE                                   ,F,,,2025-04,SELL,10,2025-10-04,23.0,21.97,1730.4,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE MONTH FUTURE                                    ,F,,,2025-04,SELL,5,2025-03-31,32.85,24.98,28332.0,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE MONTH FUTURE                                    ,F,,,2025-04,SELL,2,2025-03-31,32.85,24.98,11332.8,EUR,1,
Broker A,A:G1115000,FEB            ,EEX SPANISH POWER BASE MONTH FUTURE                                    ,F,,,2025-04,SELL,3,2025-03-31,32.85,24.98,16999.2,EUR,1,
Broker A,A:G1115000,EC             ,CME Euro FX                                                            ,F,,,2025-05,BUY,1,2025-07-04,1.1033,1.13775,4306.25,USD,125000,
Broker A,A:G1115000,EC             ,CME Euro FX                                                            ,F,,,2025-05,BUY,1,2025-07-04,1.10319,1.13775,4320.0,USD,125000,
Broker A,A:G1115000,EC             ,CME Euro FX                                                            ,F,,,2025-05,BUY,4,2025-07-04,1.10305,1.13775,17350.0,USD,125000,
Broker A,A:G1115001,DWB            ,EEX GERMAN POWER BASE WEEKEND 3 FUTURE                                 ,F,,,2025-04,SELL,10,2025-04-14,55.8,58.39,-1243.2,EUR,1,
Broker A,A:G1115001,FD1            ,EEX ITALIAN POWER BASE DAY 15 FUTURE                                   ,F,,,2025-04,BUY,25,2025-04-14,105.5,109.44,2364.0,EUR,1,
Broker A,A:G1115001,FD1            ,EEX ITALIAN POWER BASE DAY 15 FUTURE                                   ,F,,,2025-04,BUY,10,2025-04-14,106.0,109.44,825.6,EUR,1,
Broker A,A:G1115001,FD1            ,EEX ITALIAN POWER BASE DAY 15 FUTURE                                   ,F,,,2025-04,BUY,25,2025-04-14,106.0,109.44,2064.0,EUR,1,
Broker A,A:G1115001,G3B            ,EEX TTF NATURAL GAS MONTH                                              ,F,,,2025-09,BUY,3,2025-04-14,34.84,35.45,1317.6,EUR,1,
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-14,34.7,34.499,747.72,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-01,101.75,85.37,25389.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,36.37,34.499,6960.12,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,97.35,85.37,18569.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,33.3,34.499,4460.28,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,41.5,34.499,-26043.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,42.16,34.499,-28498.92,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,102.0,85.37,-25776.5,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,33.395,34.499,4106.88,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,87.0,85.37,2526.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.39,85.37,4619.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,86.0,85.37,976.5,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,40.285,34.499,21523.92,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,35.6,34.499,4095.72,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,86.0,85.37,976.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,97.35,85.37,18569.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-09,86.4,85.37,1596.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-10,83.22,85.37,-3332.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-14,85.75,85.37,589.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,42.38,34.499,-29317.32,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-10,33.835,34.499,2470.08,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-07,85.0,85.37,573.5,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,33.33,34.499,4348.68,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,42.055,34.499,-28108.32,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,97.35,85.37,18569.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,40.3,34.499,21579.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,40.225,34.499,21300.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,36.6,34.499,7815.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,35.15,34.499,2421.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-01,42.2,34.499,28647.72,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-10,83.21,85.37,-3348.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.25,85.37,4836.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.49,85.37,4464.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-10,83.7,85.37,2588.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,101.6,85.37,-25156.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,88.0,85.37,4076.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-10,82.9,85.37,3828.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,97.35,85.37,18569.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-07,34.755,34.499,-952.32,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-10,33.735,34.499,-2842.08,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,33.32,34.499,4385.88,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,40.305,34.499,21598.32,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,101.0,85.37,-24226.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,100.0,85.37,-22676.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.4,85.37,4603.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-01,101.6,85.37,-25156.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.51,85.37,4433.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,35.15,34.499,2421.72,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,89.25,85.37,6014.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-09,35.05,34.499,2049.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-01,42.35,34.499,-29205.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,33.33,34.499,4348.68,EUR,744,1.13495
